subject,session,d_prime
1,1,1.395450175244356
1,2,1.3357366749435837
1,3,1.190732199049827
1,4,1.5621917138380592
1,5,1.322180001809168
1,6,1.140277060049065
1,7,1.4430360682218955
2,1,1.405062650829945
2,2,1.3253597866190174
2,3,1.5647716853764948
2,4,1.2956254977410597
2,5,1.1825599215281655
2,6,1.2410060267153087
2,7,1.3000838263023087
3,1,0.7269884392527799
3,2,0.7799872159476876
3,3,0.6719113452571441
3,4,0.7539939164589726
3,5,0.8016900603453657
3,6,0.7804625636943948
3,7,0.8953797673007307
4,1,0.620788822843176
4,2,0.9408108972551974
4,3,0.8501628584299525
4,4,0.8809967002498533
4,5,1.0195466860910924
4,6,0.6111164352476968
4,7,0.5897799786797054
5,1,1.2257876433337773
5,2,1.3051276918302805
5,3,0.8594094601290938
5,4,1.031264278990081
5,5,1.3982187347010122
5,6,1.2641971282812972
5,7,1.348822701553819
6,1,1.1075509653260607
6,2,1.5144838627595012
6,3,1.240006739651697
6,4,1.4385215360970747
6,5,1.2970856265357993
6,6,1.2847384502016226
6,7,1.1225029301026361
7,1,1.0899034686231683
7,2,1.198451528612752
7,3,0.7182588622394018
7,4,0.9012951126321691
7,5,1.1556543472255179
7,6,0.8975136002624851
7,7,0.887908846615407
8,1,1.4410739625182813
8,2,1.114468993216329
8,3,1.3064963975054937
8,4,1.436869827897692
8,5,1.5900289029371475
8,6,1.2876846782872404
8,7,0.9511150996160004
9,1,0.694660977482914
9,2,1.043278834414391
9,3,0.8563239788435951
9,4,1.125026232105716
9,5,0.8397194681792267
9,6,1.0576526830949797
9,7,0.693406173414697
10,1,1.8130010074142864
10,2,1.4399753523001515
10,3,1.7901562743995523
10,4,1.9626345176402475
10,5,1.7358184454090364
10,6,1.9429929240363912
10,7,1.7187479479071004
