sID	muEst	muLow95CI	muHigh95CI	mu2Est	mu2Low95CI	mu2High95CI	sigmaEst	sigmaLow95CI	sigmaHigh95CI
1	1.292	1.187	1.392	0.368	0.262	0.471	0.136	0.1	0.19
2	1.323	1.231	1.42	0.403	0.312	0.499	0.126	0.1	0.173
3	0.782	0.682	0.883	0.2	0.1	0.311	0.136	0.1	0.192
4	0.793	0.667	0.914	0.081	-0.045	0.21	0.162	0.1	0.231
5	1.203	1.02	1.394	0.439	0.245	0.644	0.259	0.158	0.379
6	1.211	0.952	1.46	0.375	0.112	0.654	0.366	0.225	0.539
7	0.952	0.83	1.069	0.057	-0.062	0.182	0.157	0.1	0.225
8	1.255	1.073	1.437	0.539	0.343	0.722	0.243	0.148	0.357
9	0.903	0.77	1.039	0.311	0.174	0.45	0.184	0.114	0.271
10	1.623	1.326	1.889	0.601	0.357	0.853	0.33	0.19	0.504
